Chapter,Type,Word,Meaning,예문정리(영),예문정리(한),,
30,표제어,abandon,"v.버리다, 포기하다",to abandon the car,차를 버리다,,
20,표제어,ability,"n.능력, 재능",a great ability,뛰어난 능력,,
2,표제어,abolish,"v.폐지하다, 없애다",to abolish the old law,오래된 법을 폐지하다,,
25,표제어,abroad,ad.해외로,to study abroad,해외로 공부하러 가다,,
26,표제어,absence,"n.부재, 결석, 결근",his absence from class,그의 수업 결석,,
26,연관어,absent,"a.결석한, 없는",She was absent.,그녀는 결석했다,,
42,표제어,absolute,"a.절대적인, 완전한",an absolute truth,절대적인 진리,,
42,연관어,absolutely,"ad.완전히, 전적으로",I absolutely agree with you,완전히 동의하다,,
47,표제어,absorb,"v.흡수하다, (정보를) 받아들이다, 몰두하다","to absorb water
새로운 정보를 받아들이다 to absorb new information
그는 책에 완전히 몰두해 있었다. He was completely absorbed in the book.
",물을 흡수하다,,
47,연관어,absorption,"n.흡수, 통합, 몰두","the absorption of nutrients
그녀는 스포츠에 몰입했다 her absorption in sport.
문화적 통합 Cultural absorption",영양소 흡수,,
4,표제어,abstract,"a.추상적인 n.요약, 개요",an abstract painting,추상적인 그림,,
4,연관어,abstraction,"n.추상, 관념",an abstraction of concept,추상적인 개념,,
17,표제어,abundant,"a.풍부한, 풍족한",abundant resources,풍부한 자원,,
17,연관어,abundance,"n.풍부, 풍요",an abundance of food,음식의 풍부,,
34,표제어,abuse,"v.남용하다, 오용하다 n.남용, 오용",to abuse his power,권력을 남용하다,,
34,연관어,abusive,a.학대하는,an abusive language,모욕적인 언어,,
28,표제어,academic,"a.학업의, 학문의  n.학자",academic achievement,학업 성취,,
28,연관어,academically,ad.학문적으로,to excel academically,학문적으로 뛰어나다,,
13,표제어,accelerate,"v.가속하다, 촉진하다",to accelerate speed,속도를 내다,,
13,연관어,acceleration,"n.가속, 가속도",the acceleration of a vehicle,차량의 가속,,
18,표제어,accept,"v.받아들이다, 수용하다",to accept an offer,제안을 받아들이다,,
18,연관어,acceptable,"a.받아들일 수 있는, 허용 가능한",acceptable behavior,용인할 수 있는 행동,,
18,연관어,unacceptable,a.받아들일 수 없는,unacceptable offer,받아들일 수 없는 제안,,
18,연관어,acceptance,"n.수용, 인정",acceptance of the rules,규칙의 수용,,
13,표제어,access,"n.접근, 이용 v.접근하다",to access the website,웹사이트에 접근하다,,
13,연관어,accessibility,n.접근성,accessibility of public spaces,공공 장소의 접근성,,
13,연관어,accessible,"a.접근 가능한, 이용 가능한",accessible information,이용할 수 있는 정보,,
12,표제어,accidentally,"ad.우연히, 실수로",She accidentally broke the cup,실수로 컵을 깨뜨리다,,
12,연관어,accident,n.사고,an accident on the road,도로에서 일어난 사고,,
12,연관어,accidental,"a.우연한, 뜻하지 않은",accidental damage,우연한 손상,,
47,표제어,acclaim,n.칭찬 v.칭송하다,acclaim for the book,그 책에 대한 찬사,,
42,표제어,accommodate,"v.수용하다, 편의를 제공하다",to accommodate guests,손님을 수용하다,,
42,연관어,accommodation,"n.숙박, 숙박 시설",accommodation in the hotel,호텔에서의 숙박 시설,,
7,표제어,accompany,"v.동행하다, 함께 가다, 동반하다, 반주를 하다",to accompany a friend,친구를 동반하다,,
7,연관어,be accompanied by,v. ~을 동반하다,The speech was accompanied by music,그 연설은 음악과 함께했다,,
44,표제어,accomplish,"v.성취하다, 해내다",to accomplish the goal,목표를 성취하다,,
44,연관어,accomplished,a.숙달된,accomplished pianist,능숙한 피아니스트,,
44,연관어,accomplishment,"n.달성, 성취, 업적",accomplishment in life,삶에서의 성취,,
46,표제어,accordingly,"ad.따라서, 그러므로, 그에 따라",to act accordingly,그에 따라 행동하다,,
46,연관어,according to,전.~에 따르면 ,according to his words,그의 말에 따르면,,
46,연관어,accordance,"n.일치, 조화, 부합",,,,
26,표제어,account,"n.설명, 기술, 계좌 v.간주하다, 여기다","a detailed account
계좌 잔액 account balance
그 행사는 성공으로 간주되었다. The event was accounted a success.",자세한 설명,,
26,연관어,account for,"v.차지하다, 설명하다",to account for the failure,실패를 설명하다,,
26,연관어,on account of,전구.~ 때문에 ,to cancel on account of the weather,날씨 때문에 취소하다,,
13,표제어,accumulate,"v.축적하다, 축적되다",to accumulate experience,경험을 쌓다,,
13,연관어,accumulation,n.축적 ,the accumulation of wealth,부의 축적,,
18,표제어,accurate,a.정확한,accurate information,정확한 정보,,
18,연관어,accuracy,"n.정확도, 정확성",to solve the problem with accuracy,문제를 정확하게 풀다,,
18,연관어,accurately,ad.정확하게,to measure accurately,정확하게 측정하다,,
4,표제어,accustomed,"a.익숙한, 익숙해진",an accustomed sound,익숙한 소리,,
